<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,-@@100,?,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,-@@100,?,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,-@@100,?,14770033664.0,152064.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,-@@100,?,32763876352.0,152064.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,-@@100,?,7615616512.0,152064.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/zai-org/GLM-4.7-FP8'>zai-org/GLM-4.7-FP8 (val)</a>,🤔,-@@100,?,358458391872.0,151552.0,202752.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,-@@100,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/TurkuNLP/finnish-modernbert-base'>TurkuNLP/finnish-modernbert-base</a>,🔍,-@@100,N/A,143404800.0,42240.0,16000.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/TurkuNLP/finnish-modernbert-large-seq-len-1024-117300-annealed'>TurkuNLP/finnish-modernbert-large-seq-len-1024-117300-annealed</a>,🔍,-@@100,N/A,401260864.0,55616.0,1024.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/TurkuNLP/finnish-modernbert-large'>TurkuNLP/finnish-modernbert-large</a>,🔍,-@@100,N/A,401260864.0,55616.0,16000.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/TurkuNLP/finnish-modernbert-tiny'>TurkuNLP/finnish-modernbert-tiny</a>,🔍,-@@100,N/A,51647616.0,27264.0,16000.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,-@@100,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ai-forever/mGPT'>ai-forever/mGPT</a>,🧠,-@@100,N/A,?,100000.0,1024.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,-@@100,N/A,51570323328.0,65536.0,262144.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da (zero-shot, val)</a>",📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da (val)</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da (zero-shot, val)</a>",📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da (val)</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da (zero-shot, val)</a>",📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da (val)</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,-@@100,N/A,30677882880.0,131072.0,65536.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,-@@100,?,10292777472.0,151552.0,65536.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-@@100,?,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-@@100,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,-@@100,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,-@@100,?,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,-@@100,?,28410968576.0,256000.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,-@@100,65.09,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,1.47@@1.47,1.71@@1.71,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,-@@100,?,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,1.35@@1.35,-@@100,-@@100
<a href='https://hf.co/RJuro/kanelsnegl-v0.1'>RJuro/kanelsnegl-v0.1</a>,📝,-@@100,?,7241732096.0,32000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RJuro/munin-neuralbeagle-7b'>RJuro/munin-neuralbeagle-7b (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b'>RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (val)</a>,📝,-@@100,?,7241748480.0,32002.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,-@@100,?,20905482240.0,100352.0,98304.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,-@@100,?,20905482240.0,100352.0,32768.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RuterNorway/Llama-2-13b-chat-norwegian'>RuterNorway/Llama-2-13b-chat-norwegian</a>,🧠,-@@100,N/A,13015866880.0,32000.0,4096.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/RuterNorway/Llama-2-7b-chat-norwegian'>RuterNorway/Llama-2-7b-chat-norwegian</a>,📝,-@@100,?,?,32000.0,4096.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,-@@100,?,134516160.0,49154.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs (zero-shot, val)</a>",📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,N/A,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,-@@100,N/A,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini</a>,🤔,-@@100,?,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,N/A,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-two-epochs (val)</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,-@@100,?,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen'>alexandrainst/Meta-Llama-3.1-8B-laerebogen (val)</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen'>alexandrainst/Meta-Llama-3.1-8B-laerebogen</a>,📝,-@@100,?,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,-@@100,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,-@@100,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,-@@100,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,-@@100,?,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,-@@100,N/A,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,-@@100,?,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,-@@100,N/A,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B</a>,🧠,-@@100,N/A,32234279936.0,100352.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,-@@100,?,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,1.76@@1.76,1.94@@1.94,-@@100
